lat,long
22.988887,120.20179
22.927002,120.293327
22.992029,120.204628
23.353485,120.473033
22.985142,120.208244
22.948336,120.215626
23.285661,120.399213
23.336624,120.504317
22.947106,120.220444
23.121902,120.459355
23.31271,120.322405
22.981223,120.202395
22.9934,120.216823
23.107426,120.291394
22.996372,120.213886
22.995498,120.206106
22.990132,120.222833
23.037284,120.237883
22.997144,120.212966
23.263751,120.389927
23.263751,120.389927
23.328681,120.373818
23.263751,120.389927
23.263751,120.389927
22.986802,120.198058
23.183333,120.25
23.193838,120.373568
22.984293,120.172193
22.984293,120.172193
22.986148,120.200056
23.305283,120.298399
22.995668,120.210022
23.036435,120.236923
22.929504,120.352502
22.995498,120.206106
23.21135,120.320359
22.996693,120.214414
22.995542,120.209834
23.121898,120.261582
23.306732,120.323055
22.995668,120.210022
22.996155,120.234176
23.307322,120.322166
22.989263,120.239624
22.974427,120.220889
23.079216,120.053256
23.133212,120.30658
23.009982,120.193573
23.009982,120.193573
23.038211,120.318664
23.241548,120.519459
23.038338,120.253524
23.106023,120.287236
23.121158,120.273074
22.909584,120.249932
22.909584,120.249932
23.354521,120.482836
23.108421,120.286662
23.107691,120.286801
23.105214,120.287467
23.00032,120.161365
23.255699,120.241585
23.262357,120.338984
22.970388,120.209178
23.318944,120.3076
23.278333,120.3175
23.269511,120.123817
23.134595,120.49599
23.355384,120.360798
22.970362,120.211079
23.024053,120.354366
23.329799,120.319633
23.04901,120.175768
23.129468,120.301709
22.97833,120.176296
22.905323,120.272934
23.007384,120.2736
22.991046,120.220999
23.002891,120.241413
22.935922,120.18653
23.227224,120.366726
23.058055,120.136271
23.05746,120.150574
23.004326,120.212614
23.03613,120.309619
23.038961,120.310517
23.086246,120.53725
23.121902,120.459355
22.987084,120.198016
22.978268,120.159107
23.015916,120.232036
22.924658,120.22297
23.044323,120.282665
23.049825,120.266139
23.049825,120.266139
22.990637,120.182584
23.122689,120.077581
22.970451,120.180108
23.353023,120.41629
22.903786,120.273653
23.104523,120.28141
22.987452,120.179545
23.186013,120.374319
23.186013,120.374319
23.118978,120.195846
22.972873,120.295631
23.014844,120.221297
22.988612,120.21739
22.978617,120.221177
23.032457,120.228126
23.058852,120.154343
22.988433,120.187106
22.972366,120.247762
23.063961,120.162974
23.008515,120.230847
22.992076,120.187418
23.214563,120.320604
22.974237,120.202723
22.984066,120.217602
22.92564,120.286268
22.92564,120.286268
22.92564,120.286268
23.315909,120.311935
23.310573,120.274682
22.996741,120.206699
23.191681,120.327829
23.192588,120.319401
22.960132,120.245233
23.236439,120.178604
23.064376,120.294441
23.298194,120.315085
22.987256,120.206568
23.169447,120.170477
22.993625,120.151816
23.278333,120.3175
23.278333,120.3175
22.999607,120.214993
22.997973,120.214967
22.996783,120.219639
22.9946,120.219076
22.993395,120.220487
23.000945,120.223507
23.002288,120.223008
23.001686,120.21575
22.99665,120.216862
22.997849,120.216297
22.996773,120.218024
22.998842,120.217155
22.999963,120.220004
23.000491,120.220234
22.998101,120.220728
22.99655,120.218663
23.001577,120.216941
23.002145,120.219676
23.00215,120.220985
23.00296,120.219483
22.992057,120.22296
22.997755,120.222745
22.996699,120.222627
22.997153,120.223464
22.996304,120.223389
22.995385,120.222766
23.00215,120.220985
23.270936,120.122114
23.05097,120.144816
23.035055,120.211395
23.039424,120.239057
23.011067,120.226236
23.022638,120.225296
23.022638,120.225296
23.022638,120.225296
23.189467,120.262574
22.93771,120.274007
22.998116,120.185727
22.973827,120.220684
23.050166,120.12228
22.974925,120.202943
22.981624,120.200817
22.966918,120.359124
23.003681,120.212158
22.98494,120.221962
22.994821,120.196452
23.181109,120.515413
23.003355,120.240812
23.281004,120.209471
23.308306,120.311961
22.988387,120.200324
23.279181,120.325233
23.119471,120.235621
23.310277,120.316576
22.988004,120.197872
23.042753,120.477555
23.240423,120.378372
22.979451,120.219984
22.961165,120.188734
23.123251,120.274352
23.123251,120.274352
23.123251,120.274352
22.909584,120.249932
22.994365,120.168258
23.155278,120.105662
23.034401,120.259609
22.968386,120.279216
22.991042,120.172212
22.977015,120.184209
23.016667,120.25
22.979791,120.228574
